Year,Submission,Notification,Link,Web
2020,,,https://www.cikm2020.org/index.html@p=1073.html,
2021,,,https://www.cikm2021.org/accepted-papers,
2022,,,https://www.cikm2022.org/papers-posters,https://www.cikm2022.org/
2023,2023-05-26,2023-08-04,https://uobevents.eventsair.com/cikm2023/accepted-papers,https://uobevents.eventsair.com/cikm2023/
2024,2024-05-20,2024-07-16,https://cikm2024.org/accepted-papers/,https://cikm2024.org/
2025,,,,https://cikm2025.org/
