Year,Submission,Notification,Link,Web
2017,,,https://www.kdd.org/kdd2017/accepted-papers,
2018,,,https://www.kdd.org/kdd2018/accepted-papers,
2019,,,https://www.kdd.org/kdd2019/accepted-papers,
2020,,,https://www.kdd.org/kdd2020/accepted-papers,
2021,,,https://www.kdd.org/kdd2021/accepted-papers,
2022,2022-02-10,2022-05-19,https://kdd.org/kdd2022/paperRT.html,https://kdd.org/kdd2022/index.html
2023,2023-02-02,2023-05-16,https://kdd.org/kdd2023/research-track-papers-list/,https://kdd.org/kdd2023/
2024,2024-02-08,2024-05-16,https://kdd2024.kdd.org/research-track-papers/,https://kdd2024.kdd.org/
2025,2025-02-10,2025-05-16,,https://kdd2025.kdd.org/
